,Address,Link,Rent,Bed,Bath
0,"6561 Del Playa, 2, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/ffc269bd-2bbe-42b3-a99f-c0b0fe460d30,8000.0,3.0,2.0
1,"6525 Del Playa - 2, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/01d58c2b-20bd-4325-bd31-a47cb62b6c44,-1.0,3.0,2.0
2,"6535 El Nido, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/14d34829-fbbb-4360-b8ed-becd67de1b93,11000.0,3.0,2.5
3,"6885 Pasado, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/0f7df5c9-961d-42de-b66d-b873a2647347,8500.0,5.0,3.0
4,"6575 Del Playa, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/a4671107-ea44-4870-bef9-3c9ea6891f62,-1.0,5.0,4.0
5,"6709 Del Playa, B, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/1ba8a289-f5db-4a92-ae06-706db1739676,5750.0,2.0,1.0
6,"6709 Del Playa, A, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/940e5b2d-b6cd-4f5c-bb6a-3052d09287e6,5750.0,2.0,1.0
7,"6633 Del Playa, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/ccd5e754-2d44-4e74-ba58-f67fdac90a91,18500.0,4.0,3.0
8,"6679 Del Playa, B, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/72e04fe2-0dbf-4f70-b569-f05208579e1f,8500.0,3.0,2.0
9,"6665 Del Playa, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/4f63ca15-ae84-4313-98ba-047e26912dc4,-1.0,6.0,4.0
10,"6555 Del Playa, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/762dc6fa-0d4c-40dc-a546-bcc4f4c262a9,5500.0,1.0,1.0
11,"6567 Del Playa, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/a081ee6a-63ce-4861-bdca-800e29c55039,-1.0,3.0,4.0
12,"6631 Del Playa, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/387bdc6a-490d-4c3f-95af-1093fa9d4cc7,18500.0,4.0,3.0
13,"6679 Del Playa, A, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/d9ba380f-08aa-4419-9588-f94057c43227,8000.0,3.0,3.0
14,"6743 Del Playa, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/ad8a7dd3-060a-47c6-aa49-ff721f206b01,15000.0,7.0,3.0
15,"6653 Del Playa, 2, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/cd211172-e334-4bc5-a3a9-c137449a45d3,11000.0,5.0,2.0
16,"6561 Del Playa, 7, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/aa4b735a-0051-4ab6-8eb1-69106a347ed9,8000.0,3.0,2.0
17,"6636 Del Playa, D, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/9f22a43d-342a-45f8-81a2-404a2d4a6402,6250.0,3.0,2.0
18,"6636 Del Playa, C, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/79289931-57e9-479e-8eb0-9dabf79d43ca,5250.0,2.0,1.5
19,"6636 Del Playa, B, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/bf9c9d90-dc43-4b79-a8b1-0a823c923874,5500.0,2.0,1.5
20,"6736 Sueno, C, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/e1f7400e-0595-49a9-a9f3-69b948515968,5000.0,2.0,2.0
21,"6736 Sueno, A, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/3ee3fcb9-b34e-41cc-bbaa-4db82ca345d2,5000.0,2.0,2.0
22,"6777 Del Playa, 5, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/b7ae281b-60b2-477e-b995-54279d9d98ca,7500.0,3.0,2.0
23,"6777 Del Playa, 4, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/b871ff3c-4f66-447c-af55-78232bbacd92,9000.0,4.0,2.0
24,"6777 Del Playa, 3, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/e12f9458-7664-450f-9d6c-ef4169fde221,9000.0,4.0,2.0
25,"6777 Del Playa, 1, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/c9f1f954-bb8d-425d-af13-6c6d3a0b522f,10000.0,4.0,2.0
26,"6741 Del Playa, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/fe6de045-e79a-4853-8c6e-aee5cd07ae56,15000.0,7.0,3.0
27,"6705 Del Playa, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/c941c85d-a21d-469e-88af-b19017198be6,6500.0,2.0,1.5
28,"6681 Del Playa - 2, B, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/9e82d12f-0aee-41b9-bc40-b5920c7ab6d1,7500.0,3.0,2.0
29,"6681 Del Playa - 1, A, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/fb8deed6-6e4d-4b7f-998b-9767d625eee7,7500.0,3.0,2.0
30,"6653 Del Playa, 5, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/604dc8b1-f08d-4979-8e79-23b9e3474af7,8000.0,3.0,2.0
31,"6653 Del Playa, 4, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/80820238-18ee-43e0-9eff-0a55bb329fa0,11500.0,5.0,2.0
32,"6653 Del Playa, 3, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/0ebe4e99-90d2-4494-965c-15a708297342,11000.0,5.0,2.0
33,"6653 Del Playa, 1, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/d4e857d6-1323-4a01-a91d-0abf45c25f24,11000.0,5.0,2.0
34,"6561 Del Playa, 1, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/ab55c2ab-cd18-429e-b26e-9f35efe75a68,5500.0,2.0,2.0
35,"6533 El Nido, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/123f1a77-7696-45f4-80c8-05ca49ad64e6,11000.0,3.0,2.5
